Date,Close,Volume
2020-12-18,12.4,711900
2020-12-21,12.65,1164300
2020-12-22,13.95,2413200
2020-12-23,14.83,3080200
2020-12-24,18.5,4664100
2020-12-28,16.61,3092600
2020-12-29,15.8,1179400
2020-12-30,16.0,617600
2020-12-31,14.56,1245700
2021-01-04,14.27,1182800
2021-01-05,14.62,472900
2021-01-06,14.81,1040100
2021-01-07,14.95,646600
2021-01-08,14.75,483700
2021-01-11,14.68,526700
2021-01-12,14.37,671300
2021-01-13,14.44,881900
2021-01-14,14.95,1480300
2021-01-15,15.13,882400
2021-01-19,15.14,829500
2021-01-20,14.75,663400
2021-01-21,14.72,504900
2021-01-22,14.61,413000
2021-01-25,13.97,1623000
2021-01-26,13.45,1063100
2021-01-27,12.95,1085400
2021-01-28,13.01,638600
2021-01-29,12.83,816100
2021-02-01,13.8,1510100
2021-02-02,14.35,764600
2021-02-03,13.85,984400
2021-02-04,14.17,765500
2021-02-05,14.53,1004600
2021-02-08,14.72,757900
2021-02-09,14.29,608200
2021-02-10,14.28,844800
2021-02-11,14.74,1095600
2021-02-12,15.22,1423300
2021-02-16,15.72,2744000
2021-02-17,15.37,1131100
2021-02-18,15.0,1078700
2021-02-19,14.95,766500
2021-02-22,14.53,1044600
2021-02-23,13.7,1714100
2021-02-24,13.58,905600
2021-02-25,12.9,1169500
2021-02-26,12.5,1599200
2021-03-01,12.8,598000
2021-03-02,12.7,600100
2021-03-03,11.92,1424000
2021-03-04,10.82,1951400
2021-03-05,10.78,3636900
2021-03-08,10.81,1644200
2021-03-09,11.1,1045500
2021-03-10,11.4,492100
2021-03-11,11.6,1027400
2021-03-12,11.95,427100
2021-03-15,11.95,772100
2021-03-16,11.21,722400
2021-03-17,11.62,587300
2021-03-18,11.32,485800
2021-03-19,11.38,380800
2021-03-22,11.61,564000
2021-03-23,11.33,467300
2021-03-24,10.55,1045800
2021-03-25,10.63,862100
2021-03-26,10.59,531300
2021-03-29,10.56,633200
2021-03-30,10.56,445700
2021-03-31,11.12,817200
2021-04-01,11.47,563900
2021-04-05,11.42,447900
2021-04-06,11.43,396800
2021-04-07,11.32,279800
2021-04-08,11.3,362300
2021-04-09,11.42,609100
2021-04-12,11.56,779600
2021-04-13,11.57,406000
2021-04-14,11.96,627200
2021-04-15,12.0,966900
2021-04-16,12.05,580000
2021-04-19,11.24,578400
2021-04-20,10.62,863400
2021-04-21,10.72,682100
2021-04-22,10.47,687300
2021-04-23,10.86,580500
2021-04-26,11.0,468600
2021-04-27,10.7,540900
2021-04-28,10.78,225900
2021-04-29,10.68,317800
2021-04-30,10.66,181500
2021-05-03,10.5,403600
2021-05-04,10.34,639100
2021-05-05,10.17,961100
2021-05-06,10.13,1006700
2021-05-07,10.03,1559900
2021-05-10,10.08,652800
2021-05-11,9.92,855900
2021-05-12,9.93,883100
2021-05-13,9.92,1180800
2021-05-14,9.98,1062400
2021-05-17,10.03,1439800
2021-05-18,9.97,963200
2021-05-19,9.95,660000
2021-05-20,9.96,778700
2021-05-21,9.98,567400
2021-05-24,9.99,1731300
2021-05-25,9.95,1489600
2021-05-26,10.33,1716300
2021-05-27,9.99,1895100
2021-05-28,11.17,3295600
2021-06-01,11.15,1777100
2021-06-02,11.99,1924900
2021-06-03,10.94,1585800
2021-06-04,10.65,1128300
2021-06-07,11.55,1228400
2021-06-08,11.0,1326200
2021-06-09,12.0,11118300
2021-06-10,12.39,7839800
2021-06-11,11.87,1880700
2021-06-14,12.31,2627600
2021-06-15,11.26,2125200
2021-06-16,11.28,1287800
2021-06-17,11.08,788600
2021-06-18,10.64,1893400
2021-06-21,10.38,1156800
2021-06-22,10.3,870300
2021-06-23,10.21,1739900
2021-06-24,10.09,1951300
2021-06-25,9.91,1864900
2021-06-28,9.68,5318400
2021-06-29,10.63,5011900
2021-06-30,11.08,4315800
2021-07-01,10.42,2907600
2021-07-02,10.03,2251900
2021-07-06,9.62,4506400
2021-07-07,9.17,3855600
2021-07-08,9.32,2474500
2021-07-09,9.47,1031300
2021-07-12,9.43,785700
2021-07-13,9.01,1926500
2021-07-14,8.19,3880200
2021-07-15,8.1,2876400
2021-07-16,8.49,2632300
2021-07-19,8.87,4061200
2021-07-20,8.51,2102200
2021-07-21,8.83,1028000
2021-07-22,8.72,872500
2021-07-23,8.69,932300
2021-07-26,8.82,1224100
2021-07-27,8.58,1160900
2021-07-28,8.54,981800
2021-07-29,8.25,1880800
2021-07-30,8.05,2815900
2021-08-02,7.99,1520800
2021-08-03,7.75,1396000
2021-08-04,8.12,1606000
2021-08-05,8.17,1144100
2021-08-06,8.7,1995700
2021-08-09,9.09,3127000
2021-08-10,9.21,2867700
2021-08-11,9.16,2090500
2021-08-12,9.09,1455100
2021-08-13,8.9,2950500
2021-08-16,7.55,5076400
2021-08-17,7.29,3188000
2021-08-18,7.16,2387500
2021-08-19,6.87,3504000
2021-08-20,6.91,2197100
2021-08-23,6.96,2809400
2021-08-24,7.26,1566000
2021-08-25,7.21,1146300
2021-08-26,7.5,1857700
2021-08-27,7.8,1890200
2021-08-30,8.04,2178400
2021-08-31,8.1,3555900
2021-09-01,8.35,2504100
2021-09-02,8.53,1911600
2021-09-03,8.74,1816600
2021-09-07,8.23,2219900
2021-09-08,8.15,1052100
2021-09-09,8.44,889300
2021-09-10,8.19,855700
2021-09-13,8.22,1062000
2021-09-14,8.19,1154100
2021-09-15,8.02,1626900
2021-09-16,7.39,2782400
2021-09-17,8.0,8444600
2021-09-20,7.57,1964700
2021-09-21,7.66,1547200
2021-09-22,7.9,932100
2021-09-23,7.86,1021600
2021-09-24,7.55,986500
2021-09-27,7.63,982500
2021-09-28,7.14,1199200
2021-09-29,6.85,1489600
2021-09-30,6.86,988100
2021-10-01,6.93,1263300
2021-10-04,6.55,1370300
2021-10-05,6.57,890100
2021-10-06,6.56,1004400
2021-10-07,6.45,1251900
2021-10-08,6.21,1713200
2021-10-11,6.26,1058900
2021-10-12,6.27,1045200
2021-10-13,6.47,1308400
2021-10-14,6.4,1445700
2021-10-15,6.21,1124100
2021-10-18,6.33,1117700
2021-10-19,6.32,1305100
2021-10-20,6.5,895700
2021-10-21,6.71,983100
2021-10-22,6.2,1969000
2021-10-25,6.57,1309900
2021-10-26,6.64,1778200
2021-10-27,6.62,1324500
2021-10-28,6.97,1927100
2021-10-29,7.36,2410400
2021-11-01,7.43,1810200
2021-11-02,7.27,1188300
2021-11-03,7.2,1525200
2021-11-04,7.08,1332500
2021-11-05,6.83,1416400
2021-11-08,7.26,1480300
2021-11-09,7.48,1710000
2021-11-10,7.03,6479100
2021-11-11,6.48,5118000
2021-11-12,6.49,2371700
2021-11-15,6.6,1769600
2021-11-16,6.49,1351800
2021-11-17,6.2,1479800
2021-11-18,5.78,4406100
2021-11-19,5.33,2909900
2021-11-22,4.96,4015500
2021-11-23,5.36,5175100
2021-11-24,5.45,2312200
2021-11-26,5.56,1492300
2021-11-29,5.46,2436000
2021-11-30,5.36,3234200
2021-12-01,4.62,2985500
2021-12-02,4.6,2695000
2021-12-03,4.39,3590500
2021-12-06,4.36,2650100
2021-12-07,4.85,2464500
2021-12-08,5.03,1677800
2021-12-09,4.7,1680100
2021-12-10,4.66,1793400
2021-12-13,4.61,1868200
2021-12-14,4.48,1690400
2021-12-15,4.46,2918400
2021-12-16,4.29,2261800
2021-12-17,4.09,7082900
2021-12-20,4.25,3565400
2021-12-21,4.15,6088700
2021-12-22,4.11,2051700
2021-12-23,4.2,1893600
2021-12-27,4.22,1424400
2021-12-28,4.08,1687700
2021-12-29,3.93,2085800
2021-12-30,4.16,2311500
2021-12-31,4.22,2059500
2022-01-03,4.37,2428100
2022-01-04,3.92,3672900
2022-01-05,3.69,3230000
2022-01-06,3.64,2723800
2022-01-07,3.58,2038600
2022-01-10,3.6,3487000
2022-01-11,4.58,15468100
2022-01-12,4.6,5186300
2022-01-13,4.18,3186300
2022-01-14,4.11,2248800
2022-01-18,3.81,2336200
2022-01-19,3.73,2553800
2022-01-20,3.66,2419000
2022-01-21,3.41,3702700
2022-01-24,3.77,7953400
2022-01-25,3.7,2591200
2022-01-26,3.44,2691200
2022-01-27,3.26,1953300
2022-01-28,3.36,2043500
