,2021-07-02,2021-04-02,2021-01-01,2020-10-02
Change To Liabilities,131000000.0,24000000.0,283000000.0,100000000.0
Total Cashflows From Investing Activities,1368000000.0,-61000000.0,-47000000.0,-47000000.0
Net Borrowings,-5000000.0,-5000000.0,-22000000.0,-2000000.0
Total Cash From Financing Activities,-1037000000.0,-900000000.0,-739000000.0,-1331000000.0
Change To Operating Activities,82000000.0,-175000000.0,2000000.0,149000000.0
Issuance Of Stock,28000000.0,10000000.0,17000000.0,2000000.0
Net Income,413000000.0,468000000.0,193000000.0,426000000.0
Change In Cash,1053000000.0,-300000000.0,-65000000.0,-606000000.0
Repurchase Of Stock,-850000000.0,-700000000.0,-442000000.0,-1152000000.0
Effect Of Exchange Rate,2000000.0,2000000.0,23000000.0,15000000.0
Total Cash From Operating Activities,720000000.0,661000000.0,698000000.0,757000000.0
Depreciation,233000000.0,251000000.0,264000000.0,253000000.0
Other Cashflows From Investing Activities,-2000000.0,3000000.0,-2000000.0,-2000000.0
Dividends Paid,-207000000.0,-209000000.0,-179000000.0,-179000000.0
Change To Inventory,-15000000.0,61000000.0,-79000000.0,-36000000.0
Change To Account Receivables,-317000000.0,-59000000.0,-233000000.0,-117000000.0
Other Cashflows From Financing Activities,-3000000.0,-1000000.0,-113000000.0,-113000000.0
Change To Netincome,-44000000.0,19000000.0,293000000.0,-12000000.0
Capital Expenditures,-64000000.0,-64000000.0,-174000000.0,-86000000.0
