,2021-09-30,2021-07-03,2021-04-03,2021-01-02
Intangible Assets,2791000000.0,2838000000.0,2875000000.0,2604000000.0
Capital Surplus,1830000000.0,1783000000.0,1714000000.0,1656000000.0
Total Liab,22225000000.0,22221000000.0,22260000000.0,22278000000.0
Total Stockholder Equity,-2916000000.0,-3138000000.0,-3528000000.0,-3728000000.0
Minority Interest,6000000.0,6000000.0,7000000.0,7000000.0
Other Current Liab,318000000.0,59000000.0,56000000.0,46000000.0
Total Assets,19315000000.0,19089000000.0,18739000000.0,18557000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Retained Earnings,-3705000000.0,-3906000000.0,-4215000000.0,-4314000000.0
Other Liab,931000000.0,925000000.0,960000000.0,944000000.0
Good Will,8568000000.0,8591000000.0,8564000000.0,7927000000.0
Treasury Stock,-1042000000.0,-1016000000.0,-1028000000.0,-1071000000.0
Other Assets,54000000.0,54000000.0,45000000.0,82000000.0
Cash,4787000000.0,4529000000.0,4072000000.0,4907000000.0
Total Current Liabilities,1663000000.0,1636000000.0,1580000000.0,1563000000.0
Short Long Term Debt,375000000.0,384000000.0,354000000.0,340000000.0
Other Stockholder Equity,-248000000.0,-222000000.0,-234000000.0,-277000000.0
Property Plant Equipment,864000000.0,875000000.0,897000000.0,870000000.0
Total Current Assets,7030000000.0,6723000000.0,6358000000.0,7074000000.0
Long Term Investments,8000000.0,8000000.0,,
Net Tangible Assets,-14275000000.0,-14567000000.0,-14967000000.0,-14259000000.0
Net Receivables,861000000.0,759000000.0,736000000.0,676000000.0
Long Term Debt,19454000000.0,19479000000.0,19531000000.0,19622000000.0
Inventory,1185000000.0,1225000000.0,1240000000.0,1284000000.0
Accounts Payable,227000000.0,206000000.0,214000000.0,197000000.0
Other Current Assets,,1000000.0,2000000.0,3000000.0
Deferred Long Term Asset Charges,,,,18000000.0
