,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Investments,-481809000.0,-481809000.0,-481809000.0,-481809000.0
Change To Liabilities,19524000.0,2896000.0,6124500.0,6124500.0
Total Cashflows From Investing Activities,-510516000.0,-21311000.0,-21681500.0,-21681500.0
Total Cash From Financing Activities,7382000.0,1306668000.0,193702500.0,193702500.0
Change To Operating Activities,40969000.0,30298000.0,-2205000.0,-2205000.0
Issuance Of Stock,7382000.0,1431668000.0,56396000.0,56396000.0
Net Income,-83502000.0,-144719000.0,-27351000.0,-27043500.0
Change In Cash,-487877000.0,1306157000.0,164285500.0,164285500.0
Effect Of Exchange Rate,492000.0,233000.0,-26000.0,-26000.0
Total Cash From Operating Activities,14765000.0,20567000.0,-7709500.0,-7709500.0
Depreciation,11690000.0,11274000.0,10005000.0,10005000.0
Change To Account Receivables,-48576000.0,-5890000.0,-4414000.0,-4414000.0
Change To Netincome,52994000.0,125515000.0,11490500.0,11490500.0
Capital Expenditures,-11200000.0,-9681000.0,-9637500.0,-9637500.0
Net Borrowings,,-125000000.0,62500000.0,62500000.0
Repurchase Of Stock,,,-55000.0,-55000.0
Other Cashflows From Financing Activities,,,-123500.0,-123500.0
