,2021-07-03,2021-04-03,2020-12-26,2020-09-26
Intangible Assets,3027886000.0,3294481000.0,1862042000.0,1851093000.0
Capital Surplus,3824656000.0,3777645000.0,3735896000.0,3852358000.0
Total Liab,10276321000.0,10697865000.0,10606167000.0,9996028000.0
Total Stockholder Equity,3274030000.0,3056164000.0,3138174000.0,2945238000.0
Other Current Liab,183112000.0,384260000.0,308297000.0,226312000.0
Total Assets,13550351000.0,13754029000.0,13744341000.0,12941266000.0
Common Stock,98155000.0,97985000.0,97746000.0,97491000.0
Other Current Assets,333642000.0,1010575000.0,942520000.0,958913000.0
Retained Earnings,317105000.0,189534000.0,300495000.0,-44953000.0
Other Liab,1285849000.0,1541778000.0,1109937000.0,1102216000.0
Good Will,2427324000.0,2425427000.0,1194212000.0,1173514000.0
Treasury Stock,-965886000.0,-1009000000.0,-995963000.0,-959658000.0
Other Assets,1087832000.0,784107000.0,970520000.0,917342000.0
Cash,1274926000.0,815750000.0,3254236000.0,1877398000.0
Total Current Liabilities,3071446000.0,2210477000.0,2498023000.0,2084532000.0
Other Stockholder Equity,-965886000.0,-1009000000.0,-995963000.0,-959658000.0
Property Plant Equipment,2443171000.0,2450310000.0,2432348000.0,2319111000.0
Total Current Assets,4564138000.0,4785870000.0,7285219000.0,6680206000.0
Net Tangible Assets,-2181180000.0,-2663744000.0,81920000.0,-79369000.0
Short Term Investments,598806000.0,598806000.0,599403000.0,800000000.0
Net Receivables,1139946000.0,1298900000.0,1413077000.0,1609052000.0
Long Term Debt,4726234000.0,5690861000.0,5786552000.0,5679440000.0
Inventory,1216818000.0,1061839000.0,1075983000.0,1434843000.0
Accounts Payable,534803000.0,463208000.0,412324000.0,450109000.0
Deferred Long Term Liab,,34607000.0,,
Deferred Long Term Asset Charges,,201237000.0,,
Long Term Investments,,13834000.0,,
